# text = vascular membrane that lines the inner surface of long bones
# id = 05319144-n-1
# type = def
1	vascular	wf	JJ	vascular%3	vascular%3:01:00::	auto	0:8
2	membrane	wf	NN	membrane%1	membrane%1:08:00::	man	9:17
3	that	wf	WDT	that	_	ignore	18:22
4	lines	wf	VBZ	line%1|line%2	_	un	23:28
5	the	wf	DT	the	_	ignore	29:32
6	inner	wf	JJ	inner%3	inner%3:00:00::	man	33:38
7	surface	wf	NN	surface%1|surface%2|surface%3	surface%1:15:00::	man	39:46
8	of	wf	IN	of	_	ignore	47:49
9	_	glob|a	_	long_bone%1	long_bone%1:08:00::	man	_
10	long	cf|a	JJ	long%2|long%3|long%4	_	un	50:54
11	bones	cf|a	NNS	bone%1|bones%1|bone%2	_	un	55:60

# text = the ocular muscle whose contraction turns the eyeball medially
# id = 05316850-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	_	glob|a	_	ocular_muscle%1	ocular_muscle%1:08:00::	man	_
3	ocular	cf|a	JJ	ocular%1|ocular%3	_	un	4:10
4	muscle	cf|a	NN	muscle%1|muscle%2	_	un	11:17
5	whose	wf	WP$	whose	_	ignore	18:23
6	contraction	wf	NN	contraction%1	contraction%1:04:01::	man	24:35
7	turns	wf	VBZ	turn%1|turn%2	_	un	36:41
8	the	wf	DT	the	_	ignore	42:45
9	eyeball	wf	NN	eyeball%1|eyeball%2	eyeball%1:08:00::	man	46:53
10	medially	wf	RB	medially%4	medially%4:02:00::	auto	54:62

# text = thin epithelial membrane lining the ventricles of the brain and the spinal cord canal
# id = 05319279-n-1
# type = def
1	thin	wf	JJ	thin%2|thin%3|thin%4	_	un	0:4
2	epithelial	wf	JJ	epithelial%3	epithelial%3:01:00::	auto	5:15
3	membrane	wf	NN	membrane%1	membrane%1:08:00::	man	16:24
4	lining	wf	VBG	lining%1|line%2	_	un	25:31
5	the	wf	DT	the	_	ignore	32:35
6	ventricles	wf	NNS	ventricle%1	ventricle%1:08:02::	man	36:46
7	of	wf	IN	of	_	ignore	47:49
8	the	wf	DT	the	_	ignore	50:53
9	brain	wf	NN	brain%1|brain%2	brain%1:08:00::	man	54:59
10	and	wf	CC	and	_	ignore	60:63
11	the	wf	DT	the	_	ignore	64:67
12	_	glob|a	_	spinal_cord%1	spinal_cord%1:08:00::	auto	_
13	spinal	cf|a	JJ	spinal%1|spinal%3	_	un	68:74
14	cord	cf|a	NN	cord%1|cord%2	_	un	75:79
15	canal	wf	NN	canal%1|canal%2	canal%1:08:00::	man	80:85

# text = a muscular partition separating the abdominal and thoracic cavities; functions in respiration
