# text = regularity of spacing
# id = 04769988-n-1
# type = def
1	regularity	wf	NN	regularity%1	regularity%1:07:00::	man	0:10
2	of	wf	IN	of	_	ignore	11:13
3	spacing	wf	VBG	spacing%1|space%2	_	un	14:21

# text = a quality of uniformity and lack of variation
# id = 04769456-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	quality	wf	NN	quality%1|quality%3	_	un	2:9
3	of	wf	IN	of	_	ignore	10:12
4	uniformity	wf	NN	uniformity%1	uniformity%1:07:01::	man	13:23
5	and	wf	CC	and	_	ignore	24:27
6	lack	wf	NN	lack%1|lack%2	lack%1:26:00::	man	28:32
7	of	wf	IN	of	_	ignore	33:35
8	variation	wf	NN	variation%1	variation%1:11:01::	man	36:45

# text = the quality of being uneven and lacking uniformity
# id = 04771890-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	quality	wf	NN	quality%1|quality%3	_	un	4:11
3	of	wf	IN	of	_	ignore	12:14
4	being	wf	VBG	being%1|be%2	_	un	15:20
5	uneven	wf	JJ	uneven%3	_	un	21:27
6	and	wf	CC	and	_	ignore	28:31
7	lacking	wf	VBG	lack%2|lacking%3	lack%1:26:00::	man	32:39
8	uniformity	wf	NN	uniformity%1	uniformity%1:07:01::	man	40:50

# text = the quality of being intermittent; subject to interruption or periodic stopping
# id = 04770720-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	quality	wf	NN	quality%1|quality%3	_	un	4:11
3	of	wf	IN	of	_	ignore	12:14
4	being	wf	VBG	being%1|be%2	_	un	15:20
5	intermittent	wf	JJ	intermittent%3	intermittent%5:00:00:sporadic:00	man	21:33
6	;	wf	punc	_	_	ignore	33:34
7	subject	wf	JJ	subject%1|subject%2|subject%3	subject%5:00:00:subordinate:02	man	35:42
8	to	wf	TO	to	_	ignore	43:45
9	interruption	wf	NN	interruption%1	interruption%1:28:00::	man	46:58
10	or	wf	CC	or	_	ignore	59:61
11	periodic	wf	JJ	periodic%3	_	un	62:70
12	stopping	wf	NN	stopping%1|stop%2	stop%2:38:00::	man	71:79

# text = the quality of moving or acting in spasms
# id = 04771738-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	quality	wf	NN	quality%1|quality%3	_	un	4:11
3	of	wf	IN	of	_	ignore	12:14
4	moving	wf	VBG	move%2|moving%3	_	un	15:21
5	or	wf	CC	or	_	ignore	22:24
6	acting	wf	VBG	acting%1|act%2|acting%3	_	un	25:31
7	in	wf	IN	in	_	ignore	32:34
8	spasms	wf	NNS	spasm%1	spasm%1:26:00::	man	35:41

# text = the quality of lacking any predictable order or plan
# id = 04771332-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	quality	wf	NN	quality%1|quality%3	_	un	4:11
3	of	wf	IN	of	_	ignore	12:14
4	lacking	wf	VBG	lack%2|lacking%3	lack%2:42:00::	man	15:22
5	any	wf	DT	any	_	ignore	23:26
6	predictable	wf	JJ	predictable%3	predictable%3:00:00::	auto	27:38
7	order	wf	NN	order%1|order%2	_	un	39:44
8	or	wf	CC	or	_	ignore	45:47
9	plan	wf	NN	plan%1|plan%2	plan%1:09:01::|plan%1:09:00::	man	48:52

# text = the quality of being topologically uneven; 
# id = 04772388-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	quality	wf	NN	quality%1|quality%3	_	un	4:11
3	of	wf	IN	of	_	ignore	12:14
4	being	wf	VBG	being%1|be%2	_	un	15:20
5	topologically	wf	RB	topologically%4	topologically%4:02:00::	auto	21:34
6	uneven	wf	JJ	uneven%3	uneven%3:00:00::	man	35:41
7	;	wf	punc	_	_	ignore	41:42

# text = the ruggedness of the mountains
# id = 04772388-n-2
# type = ex
1	the	wf	_	the	_	ignore	0:3
2	ruggedness	wf	_	ruggedness%1	ruggedness%1:07:01::	auto	4:14
3	of	wf	_	of	_	ignore	15:17
4	the	wf	_	the	_	ignore	18:21
5	mountains	wf	_	mountain%1	_	un	22:31

# text = an ordered manner; orderliness by virtue of being methodical and well organized; 
# id = 04768657-n-1
# type = def
1	an	wf	DT	an	_	ignore	0:2
2	ordered	wf	JJ	order%2|ordered%3	ordered%3:00:00::	man	3:10
3	manner	wf	NN	manner%1	manner%1:07:02::	man	11:17
4	;	wf	punc	_	_	ignore	17:18
5	orderliness	wf	NN	orderliness%1	orderliness%1:26:00::	man	19:30
6	by	wf	IN	by	_	ignore	31:33
7	virtue	wf	NN	virtue%1	_	ignore	34:40
8	of	wf	IN	of	_	ignore	41:43
9	being	wf	VBG	being%1|be%2	_	un	44:49
10	methodical	wf	JJ	methodical%3	methodical%5:00:00:organized:01	auto	50:60
11	and	wf	CC	and	_	ignore	61:64
12	well	wf	RB	well%1|well%2|well%3|well%4	_	un	65:69
13	organized	wf	VBN	organize%2|organized%3	organized%3:00:01::	man	70:79
14	;	wf	punc	_	_	ignore	79:80

# text = his compulsive organization was not an endearing quality
# id = 04768657-n-2
# type = ex
1	his	wf	_	his	_	ignore	0:3
2	compulsive	wf	_	compulsive%1|compulsive%3	_	un	4:14
3	organization	wf	_	organization%1	organization%1:07:00::	auto	15:27
4	was	wf	_	be%2	_	un	28:31
5	not	wf	_	not%4	_	un	32:35
6	an	wf	_	an	_	ignore	36:38
7	endearing	wf	_	endear%2|endearing%3	_	un	39:48
8	quality	wf	_	quality%1|quality%3	_	un	49:56

# text = we can't do it unless we establish some system around here
# id = 04768657-n-3
# type = ex
1	we	wf	_	we	_	ignore	0:2
2	ca	wf	_	can%1|can%2	_	ignore	3:5
3	n't	wf	_	not%4	_	ignore	5:8
4	do	wf	_	do%1|do%2	_	un	9:11
5	it	wf	_	it	_	ignore	12:14
6	unless	wf	_	unless	_	ignore	15:21
7	we	wf	_	we	_	ignore	22:24
8	establish	wf	_	establish%2	_	un	25:34
9	some	wf	_	some	_	ignore	35:39
10	system	wf	_	system%1	system%1:07:00::	auto	40:46
11	around	wf	_	around%4	_	un	47:53
12	here	wf	_	here%1|here%3|here%4	_	un	54:58

# text = an attribute of stochastic systems; generally, a system that tends in probability to a limiting form that is independent of the initial conditions
# id = 04771535-n-1
# type = def
1	an	wf	DT	an	_	ignore	0:2
2	attribute	wf	NN	attribute%1|attribute%2	_	un	3:12
3	of	wf	IN	of	_	ignore	13:15
4	stochastic	wf	JJ	stochastic%3	stochastic%5:00:00:random:00	auto	16:26
5	systems	wf	NNS	system%1	_	un	27:34
