# text = a tall glass for serving highballs
# id = 03518135-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	tall	wf	JJ	tall%1|tall%3	tall%3:00:00::	man	2:6
3	glass	wf	NN	glass%1|glass%2	glass%1:06:00::	man	7:12
4	for	wf	IN	for	_	ignore	13:16
5	serving	wf	VBG	serving%1|serve%2	_	un	17:24
6	highballs	wf	NN	highball%1	highball%1:13:00::	auto	25:34

# text = a high diving board
# id = 03518230-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	high	wf	JJ	high%1|high%3|high%4	_	un	2:6
3	_	glob|a	_	diving_board%1	diving_board%1:06:00::	auto	_
4	diving	cf|a	NN	diving%1|dive%2	_	un	7:13
5	board	cf|a	NN	board%1|board%2	_	un	14:19

# text = cymbals that are operated by a foot pedal
# id = 03518829-n-1
# type = def
1	cymbals	wf	NN	cymbal%1	cymbal%1:06:00::	auto	0:7
2	that	wf	WDT	that	_	ignore	8:12
3	are	wf	VBP	are%1|be%2	_	un	13:16
4	operated	wf	VBN	operate%2	operate%2:35:00::	man	17:25
5	by	wf	IN	by	_	ignore	26:28
6	a	wf	DT	a	_	ignore	29:30
7	_	glob|a	_	foot_pedal%1	foot_pedal%1:06:00::	auto	_
8	foot	cf|a	NN	foot%1|foot%2	_	un	31:35
9	pedal	cf|a	NN	pedal%1|pedal%2|pedal%3	_	un	36:41

# text = a cannon that can be fired at a high elevation for relatively short ranges
# id = 03517982-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	cannon	wf	NN	cannon%1|cannon%2	cannon%1:06:00::	man	2:8
3	that	wf	WDT	that	_	ignore	9:13
4	can	wf	MD	can%1|can%2	_	un	14:17
5	be	wf	VB	be%2	_	un	18:20
6	fired	wf	VBN	fire%2|fired%3	fire%2:33:02::	man	21:26
7	at	wf	IN	at	_	ignore	27:29
8	a	wf	DT	a	_	ignore	30:31
9	high	wf	JJ	high%1|high%3|high%4	_	un	32:36
10	elevation	wf	NN	elevation%1	elevation%1:24:00::	man	37:46
11	for	wf	IN	for	_	ignore	47:50
12	relatively	wf	RB	relatively%4	relatively%4:02:00::	auto	51:61
13	short	wf	JJ	short%1|short%2|short%3|short%4	short%3:00:01::	man	62:67
14	ranges	wf	NNS	range%1|range%2	_	un	68:74

# text = a highway
# id = 03519578-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	highway	wf	NN	highway%1	highway%1:06:00::	auto	2:9

# text = a tall chest of drawers divided into two sections and supported on four legs
# id = 03518305-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	tall	wf	JJ	tall%1|tall%3	tall%3:00:00::	man	2:6
3	_	glob|a	_	chest_of_drawers%1	chest_of_drawers%1:06:00::	auto	_
4	chest	cf|a	NN	chest%1	_	un	7:12
5	of	cf|a	IN	of	_	ignore	13:15
6	drawers	cf|a	NN	drawer%1|drawers%1	_	un	16:23
7	divided	wf	VBN	divide%2|divided%3	divide%2:41:00::	man	24:31
8	into	wf	IN	into	_	ignore	32:36
9	two	wf	CD	two	_	ignore	37:40
10	sections	wf	NNS	section%1|section%2	section%1:06:00::	man	41:49
11	and	wf	CC	and	_	ignore	50:53
12	supported	wf	VBN	support%2|supported%3	support%2:35:00::	man	54:63
13	on	wf	IN	on	_	ignore	64:66
14	four	wf	CD	four	_	ignore	67:71
15	legs	wf	NNS	leg%1|legs%1	leg%1:06:01::	man	72:76

# text = a fluorescent marker used to mark important passages in a text
# id = 03518943-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	fluorescent	wf	JJ	fluorescent%1|fluorescent%3	fluorescent%5:00:00:colorful:00	man	2:13
3	marker	wf	NN	marker%1	marker%1:06:01::	man	14:20
4	used	wf	VBN	use%2|used%3	_	un	21:25
5	to	wf	TO	to	_	ignore	26:28
6	mark	wf	VB	mark%1|mark%2	mark%2:30:00::	man	29:33
7	important	wf	JJ	important%3	_	un	34:43
8	passages	wf	NNS	passage%1	passage%1:10:00::	man	44:52
9	in	wf	IN	in	_	ignore	53:55
10	a	wf	DT	a	_	ignore	56:57
11	text	wf	NN	text%1	text%1:10:00::|text%1:10:01::|text%1:10:02::	man	58:62

# text = a filter that passes frequencies above a certain value and attenuates frequencies below that value
# id = 03519226-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	filter	wf	NN	filter%1|filter%2	filter%1:06:01::	man	2:8
3	that	wf	WDT	that	_	ignore	9:13
4	passes	wf	VBZ	pass%1|pass%2	_	un	14:20
5	frequencies	wf	NNS	frequency%1	frequency%1:28:00::	man	21:32
6	above	wf	IN	above%1|above%3|above%4	_	un	33:38
7	a	wf	DT	a	_	ignore	39:40
8	certain	wf	JJ	certain%3	_	un	41:48
9	value	wf	NN	value%1|value%2	_	un	49:54
10	and	wf	CC	and	_	ignore	55:58
11	attenuates	wf	VB	attenuate%2	attenuate%2:30:00::	man	59:69
12	frequencies	wf	NNS	frequency%1	frequency%1:28:00::	man	70:81
13	below	wf	IN	below%4	_	un	82:87
14	that	wf	WDT	that	_	ignore	88:92
15	value	wf	NN	value%1|value%2	_	un	93:98

# text = a tightrope very high above the ground
# id = 03520399-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	tightrope	wf	NN	tightrope%1	tightrope%1:06:00::	auto	2:11
3	very	wf	RB	very%3|very%4	_	un	12:16
4	high	wf	JJ	high%1|high%3|high%4	_	un	17:21
5	above	wf	IN	above%1|above%3|above%4	_	un	22:27
6	the	wf	DT	the	_	ignore	28:31
7	ground	wf	NN	ground%1|grind%2|ground%2	ground%1:17:00::	man	32:38

# text = a major road for any form of motor transport
# id = 03519981-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	major	wf	JJ	major%1|major%2|major%3	major%3:00:06::	man	2:7
3	road	wf	NN	road%1	road%1:06:00::	man	8:12
4	for	wf	IN	for	_	ignore	13:16
5	any	wf	DT	any	_	ignore	17:20
6	form	wf	NN	form%1|form%2	form%1:09:01::	man	21:25
7	of	wf	IN	of	_	ignore	26:28
8	motor	wf	JJ	motor%1|motor%2|motor%3	motor%5:00:00:causative:00	man	29:34
9	transport	wf	NN	transport%1|transport%2	transport%1:06:00::	man	35:44

# text = a transportation system consisting of roads for motor transport
# id = 03520275-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	_	glob|a	_	transportation_system%1	transportation_system%1:06:00::	auto	_
3	transportation	cf|a	NN	transportation%1	_	un	2:16
4	system	cf|a	NN	system%1	_	un	17:23
5	consisting	wf	VBG	consist%2	_	un	24:34
6	of	wf	IN	of	_	ignore	35:37
7	roads	wf	NNS	road%1|roads%1	road%1:06:00::	man	38:43
8	for	wf	IN	for	_	ignore	44:47
9	motor	wf	JJ	motor%1|motor%2|motor%3	motor%5:00:00:causative:00	man	48:53
10	transport	wf	NN	transport%1|transport%2	transport%1:06:00::	man	54:63

# text = a chair for feeding a very young child; has four long legs and a footrest and a detachable tray
# id = 03518445-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	chair	wf	NN	chair%1|chair%2	chair%1:06:00::	man	2:7
3	for	wf	IN	for	_	ignore	8:11
4	feeding	wf	VBG	feeding%1|feed%2	feed%2:34:01::	man	12:19
5	a	wf	DT	a	_	ignore	20:21
6	very	wf	RB	very%3|very%4	_	un	22:26
7	young	wf	JJ	young%1|young%3	young%3:00:00::	man	27:32
8	child	wf	NN	child%1	child%1:18:00::	man	33:38
9	;	wf	punc	_	_	ignore	38:39
10	has	wf	VBZ	have%2	_	un	40:43
11	four	wf	CD	four	_	ignore	44:48
12	long	wf	JJ	long%2|long%3|long%4	long%5:00:00:tall:00	man	49:53
13	legs	wf	NNS	leg%1|legs%1	leg%1:06:01::	man	54:58
14	and	wf	CC	and	_	ignore	59:62
15	a	wf	DT	a	_	ignore	63:64
16	footrest	wf	NN	footrest%1	footrest%1:06:00::	auto	65:73
17	and	wf	CC	and	_	ignore	74:77
18	a	wf	DT	a	_	ignore	78:79
19	detachable	wf	JJ	detachable%3	detachable%3:00:00::	auto	80:90
20	tray	wf	NN	tray%1	tray%1:06:00::	auto	91:95

# text = the handle of a sword or dagger
# id = 03520654-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	handle	wf	NN	handle%1|handle%2	_	un	4:10
3	of	wf	IN	of	_	ignore	11:13
4	a	wf	DT	a	_	ignore	14:15
5	sword	wf	NN	sword%1	sword%1:06:00::	auto	16:21
6	or	wf	CC	or	_	ignore	22:24
7	dagger	wf	NN	dagger%1	dagger%1:06:00::	man	25:31

# text = a forward gear with a gear ratio that gives the greatest vehicle velocity for a given engine speed
# id = 03518631-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	forward	wf	JJ	forward%1|forward%2|forward%3|forward%4	_	un	2:9
3	gear	wf	NN	gear%1|gear%2	gear%1:06:04::	man	10:14
4	with	wf	IN	with	_	ignore	15:19
5	a	wf	DT	a	_	ignore	20:21
6	gear	wf	NN	gear%1|gear%2	gear%1:06:04::	man	22:26
7	ratio	wf	NN	ratio%1	_	un	27:32
8	that	wf	WDT	that	_	ignore	33:37
9	gives	wf	VBZ	give%1|give%2	_	un	38:43
10	the	wf	DT	the	_	ignore	44:47
11	greatest	wf	JJS	great%3|greatest%3	_	un	48:56
12	vehicle	wf	NN	vehicle%1	vehicle%1:06:00::	man	57:64
13	velocity	wf	NN	velocity%1	velocity%1:28:00::	auto	65:73
14	for	wf	IN	for	_	ignore	74:77
15	a	wf	DT	a	_	ignore	78:79
16	given	wf	JJ	given%1|give%2|given%3	given%5:00:00:acknowledged:00	man	80:85
17	engine	wf	NN	engine%1	engine%1:06:00::	man	86:92
18	speed	wf	NN	speed%1|speed%2	_	un	93:98

# text = the gatepost on which the gate is hung
# id = 03521431-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	gatepost	wf	NN	gatepost%1	gatepost%1:06:00::	auto	4:12
3	on	wf	IN	on	_	ignore	13:15
4	which	wf	WDT	which	_	ignore	16:21
5	the	wf	DT	the	_	ignore	22:25
6	gate	wf	NN	gate%1|gate%2	gate%1:06:00::	man	26:30
7	is	wf	VBZ	i%1|be%2	_	un	31:33
8	hung	wf	VBN	hang%2	hang%2:35:04::	man	34:38

# text = tower consisting of a multistoried building of offices or apartments; 
# id = 03519387-n-1
# type = def
1	tower	wf	NN	tower%1|tower%2	tower%1:06:00::	man	0:5
2	consisting	wf	VBG	consist%2	_	un	6:16
3	of	wf	IN	of	_	ignore	17:19
4	a	wf	DT	a	_	ignore	20:21
5	multistoried	wf	JJ	multistoried%3	multistoried%5:00:00:high-rise:00	auto	22:34
6	building	wf	NN	building%1|build%2	building%1:06:00::	man	35:43
7	of	wf	IN	of	_	ignore	44:46
8	offices	wf	NNS	office%1	_	un	47:54
9	or	wf	CC	or	_	ignore	55:57
10	apartments	wf	NN	apartment%1	apartment%1:06:00::	auto	58:68
11	;	wf	punc	_	_	ignore	68:69

# text = ‘tower block’ is the British term for ‘high-rise’
# id = 03519387-n-2
# type = ex
1	‘	wf	punc	_	_	ignore	0:1
2	_	glob|a	_	tower_block%1	tower_block%1:06:00::	auto	_
3	tower	cf|a	_	tower%1|tower%2	_	un	1:6
4	block	cf|a	_	block%1|block%2	_	un	7:12
5	’	wf	punc	_	_	ignore	12:13
6	is	wf	_	i%1|be%2	_	un	14:16
7	the	wf	_	the	_	ignore	17:20
8	British	wf	_	British%1|British%3	_	un	21:28
9	term	wf	_	term%1|term%2	_	un	29:33
10	for	wf	_	for	_	ignore	34:37
11	‘	wf	punc	_	_	ignore	38:39
12	high-rise	wf	_	high-rise%1|high-rise%3	high-rise%1:06:00::	auto	39:48
13	’	wf	punc	_	_	ignore	48:49

# text = a dining table in a dining-hall raised on a platform; seats are reserved for distinguished persons
# id = 03519674-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	_	glob|a	_	dining_table%1	dining_table%1:06:00::	man	_
3	dining	cf|a	NN	dining%1|dine%2	_	un	2:8
4	table	cf|a	NN	table%1|table%2	_	un	9:14
5	in	wf	IN	in	_	ignore	15:17
6	a	wf	DT	a	_	ignore	18:19
7	dining-hall	wf	NN	dining-hall%1	dining-hall%1:06:00::	auto	20:31
8	raised	wf	VBN	raise%2|raised%3	_	un	32:38
9	on	wf	IN	on	_	ignore	39:41
10	a	wf	DT	a	_	ignore	42:43
11	platform	wf	NN	platform%1	platform%1:06:00::	man	44:52
12	;	wf	punc	_	_	ignore	52:53
13	seats	wf	NNS	seat%1|seats%1|seat%2	seat%1:06:01::	man	54:59
14	are	wf	VBP	are%1|be%2	_	un	60:63
15	reserved	wf	VBN	reserve%2|reserved%3	_	un	64:72
16	for	wf	IN	for	_	ignore	73:76
17	distinguished	wf	JJ	distinguish%2|distinguished%3	_	un	77:90
18	persons	wf	NNS	person%1	person%1:03:00::	man	91:98

# text = a flask that holds spirits
# id = 03521675-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	flask	wf	NN	flask%1	flask%1:06:00::	man	2:7
3	that	wf	WDT	that	_	ignore	8:12
4	holds	wf	VBZ	hold%1|hold%2	hold%2:42:14::	man	13:18
5	spirits	wf	NNS	spirit%1|spirits%1|spirit%2	spirits%1:13:00::	man	19:26

# text = a handloom in which the warp is carried vertically; for weaving tapestry
# id = 03519848-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	handloom	wf	NN	handloom%1	handloom%1:06:00::	auto	2:10
3	in	wf	IN	in	_	ignore	11:13
4	which	wf	WDT	which	_	ignore	14:19
5	the	wf	DT	the	_	ignore	20:23
6	warp	wf	NN	warp%1|warp%2	warp%1:06:00::	man	24:28
7	is	wf	VBZ	i%1|be%2	_	un	29:31
8	carried	wf	VBN	carry%2	carry%2:35:02::	man	32:39
9	vertically	wf	RB	vertically%4	vertically%4:02:00::	auto	40:50
10	;	wf	punc	_	_	ignore	50:51
11	for	wf	IN	for	_	ignore	52:55
12	weaving	wf	VBG	weaving%1|weave%2	weave%2:36:00::	man	56:63
13	tapestry	wf	NN	tapestry%1	tapestry%1:06:00::|tapestry%1:06:01::	man	64:72

# text = a very high boot; used especially for fishing
# id = 03521544-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	very	wf	RB	very%3|very%4	_	un	2:6
3	high	wf	JJ	high%1|high%3|high%4	_	un	7:11
4	boot	wf	NN	boot%1|boot%2	boot%1:06:00::	man	12:16
5	;	wf	punc	_	_	ignore	16:17
6	used	wf	VBN	use%2|used%3	_	un	18:22
7	especially	wf	RB	especially%4	_	ignore	23:33
8	for	wf	IN	for	_	ignore	34:37
9	fishing	wf	VBG	fishing%1|fish%2	fish%2:33:00::	man	38:45

# text = a pocket in rear of trousers
# id = 03521899-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	pocket	wf	NN	pocket%1|pocket%2	_	un	2:8
3	in	wf	IN	in	_	ignore	9:11
4	rear	wf	NN	rear%1|rear%2|rear%3	rear%1:15:00::	man	12:16
5	of	wf	IN	of	_	ignore	17:19
6	trousers	wf	NNS	trouser%1	trouser%1:06:00::	man	20:28

# text = a stadium for horse shows or horse races
# id = 03522003-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	stadium	wf	NN	stadium%1	stadium%1:06:00::	auto	2:9
3	for	wf	IN	for	_	ignore	10:13
4	_	glob|b	_	horseshow%1	horseshow%1:04:00::	man	_
5	horse	cf|b	NN	horse%1|horse%2	_	un	14:19
6	shows	cf|b	NNS	show%1|show%2	_	un	20:25
7	or	wf	CC	or	_	ignore	26:28
8	_	glob|a	_	horse_race%1	horse_race%1:11:00::	man	_
9	horse	cf|a	NN	horse%1|horse%2	_	un	29:34
10	races	cf|a	NNS	race%1|race%2	_	un	35:40

# text = a headscarf worn by Muslim women; conceals the hair and neck and usually has a face veil that covers the face
# id = 03520493-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	headscarf	wf	NN	headscarf%1	headscarf%1:06:00::	auto	2:11
3	worn	wf	VBN	wear%2|worn%3	_	un	12:16
4	by	wf	IN	by	_	ignore	17:19
5	Muslim	wf	JJ	Muslim%1|Muslim%3	_	un	20:26
6	women	wf	NNS	woman%1	woman%1:18:00::	man	27:32
7	;	wf	punc	_	_	ignore	32:33
8	conceals	wf	VBZ	conceal%2	conceal%2:39:01::	man	34:42
9	the	wf	DT	the	_	ignore	43:46
10	hair	wf	NN	hair%1	hair%1:08:00::	man	47:51
11	and	wf	CC	and	_	ignore	52:55
12	neck	wf	NN	neck%1|neck%2	neck%1:08:00::	man	56:60
13	and	wf	CC	and	_	ignore	61:64
14	usually	wf	RB	usually%4	usually%4:02:00::	auto	65:72
15	has	wf	VBZ	have%2	_	un	73:76
16	a	wf	DT	a	_	ignore	77:78
17	_	glob|a	_	face_veil%1	face_veil%1:06:00::	auto	_
18	face	cf|a	NN	face%1|face%2	_	un	79:83
19	veil	cf|a	NN	veil%1|veil%2	_	un	84:88
20	that	wf	WDT	that	_	ignore	89:93
21	covers	wf	VBZ	cover%1|cover%2	cover%2:35:00::	man	94:100
22	the	wf	DT	the	_	ignore	101:104
23	face	wf	NN	face%1|face%2	face%1:08:00::	man	105:109

# text = a joint that holds two parts together so that one can swing relative to the other
# id = 03521076-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	joint	wf	NN	joint%1|joint%2|joint%3	joint%1:06:01::	man	2:7
3	that	wf	WDT	that	_	ignore	8:12
4	holds	wf	VBZ	hold%1|hold%2	hold%2:42:00::	man	13:18
5	two	wf	CD	two	_	ignore	19:22
6	parts	wf	NNS	part%1|parts%1|part%2	_	un	23:28
7	together	wf	RB	together%3|together%4	_	un	29:37
8	so	wf	IN	so%1|so%4	_	un	38:40
9	that	wf	WDT	that	_	ignore	41:45
10	one	wf	PRP	one	_	ignore	46:49
11	can	wf	MD	can%1|can%2	_	un	50:53
12	swing	wf	VB	swing%1|swing%2	swing%2:38:02::	man	54:59
13	relative	wf	JJ	relative%1|relative%3	relative%5:00:00:proportionate:00	man	60:68
14	to	wf	TO	to	_	ignore	69:71
15	the	wf	DT	the	_	ignore	72:75
16	other	wf	JJ	other%3	_	un	76:81

# text = a dose of a narcotic drug
# id = 03522559-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	dose	wf	NN	dose%1|dose%2	dose%1:06:00::	man	2:6
3	of	wf	IN	of	_	ignore	7:9
4	a	wf	DT	a	_	ignore	10:11
5	narcotic	wf	JJ	narcotic%1|narcotic%3	narcotic%5:00:00:depressant:00	man	12:20
6	drug	wf	NN	drug%1|drug%2	drug%1:06:00::	man	21:25

# text = protective garment consisting of a pad worn by football and hockey players
# id = 03521771-n-1
# type = def
1	_	glob|a	_	protective_garment%1	protective_garment%1:06:00::	auto	_
2	protective	cf|a	JJ	protective%3	_	un	0:10
3	garment	cf|a	NN	garment%1|garment%2	_	un	11:18
4	consisting	wf	VBG	consist%2	_	un	19:29
5	of	wf	IN	of	_	ignore	30:32
6	a	wf	DT	a	_	ignore	33:34
7	pad	wf	NN	pad%1|pad%2	_	un	35:38
8	worn	wf	VBN	wear%2|worn%3	_	un	39:43
9	by	wf	IN	by	_	ignore	44:46
10	_	glob|c	_	football_player%1	football_player%1:18:00::	auto	_
11	football	cf|c	NN	football%1	_	un	47:55
12	and	wf	CC	and	_	ignore	56:59
13	_	glob|b	_	hockey_player%1	hockey_player%1:18:00::	auto	_
14	hockey	cf|b	NN	hockey%1	_	un	60:66
15	players	cf|b|c	NNS	player%1	_	un	67:74

# text = a roof having sloping ends as well as sloping sides
# id = 03522100-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	roof	wf	NN	roof%1|roof%2	roof%1:06:00::	man	2:6
3	having	wf	VBG	have%2	_	un	7:13
4	sloping	wf	JJ	slope%2|sloping%3	sloping%5:00:00:inclined:01	man	14:21
5	ends	wf	NNS	end%1|end%2	end%1:15:00::	man	22:26
6	_	glob|a	_	as_well%4	as_well%4:02:01::	man	_
7	as	cf|a	RB	as	_	ignore	27:29
8	well	cf|a	RB	well%1|well%2|well%3|well%4	_	un	30:34
9	as	wf	IN	as	_	ignore	35:37
10	sloping	wf	JJ	slope%2|sloping%3	sloping%5:00:00:inclined:01	man	38:45
11	sides	wf	NNS	side%1|side%2	_	un	46:51

# text = a connection between a vehicle and the load that it pulls
# id = 03522863-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	connection	wf	NN	connection%1	connection%1:06:00::	man	2:12
3	between	wf	IN	between%4	_	un	13:20
4	a	wf	DT	a	_	ignore	21:22
5	vehicle	wf	NN	vehicle%1	vehicle%1:06:00::	man	23:30
6	and	wf	CC	and	_	ignore	31:34
7	the	wf	DT	the	_	ignore	35:38
8	load	wf	NN	load%1|load%2	_	un	39:43
9	that	wf	WDT	that	_	ignore	44:48
10	it	wf	PRP	it	_	ignore	49:51
11	pulls	wf	VBZ	pull%1|pull%2	_	un	52:57

# text = a shelf beside an open fire where something can be kept warm
# id = 03523288-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	shelf	wf	NN	shelf%1	shelf%1:06:00::	man	2:7
3	beside	wf	IN	beside	_	ignore	8:14
4	an	wf	DT	an	_	ignore	15:17
5	open	wf	JJ	open%1|open%2|open%3	open%5:00:00:unenclosed:00|open%5:00:00:unprotected:00	man	18:22
6	fire	wf	NN	fire%1|fire%2	_	un	23:27
7	where	wf	WRB	where	_	ignore	28:33
8	something	wf	PRP	something	_	ignore	34:43
9	can	wf	MD	can%1|can%2	_	un	44:47
10	be	wf	VB	be%2	_	un	48:50
11	kept	wf	VBN	keep%2|kept%3	_	un	51:55
12	warm	wf	JJ	warm%2|warm%3|warm%4	warm%3:00:01::	man	56:60

# text = a fixed horizontal rail to which a horse can be hitched to prevent it from straying
# id = 03523134-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	fixed	wf	JJ	fix%2|fixed%3	fixed%5:00:00:nonmoving:00	man	2:7
3	horizontal	wf	JJ	horizontal%1|horizontal%3	horizontal%3:00:00::	man	8:18
4	rail	wf	NN	rail%1|rail%2	rail%1:06:00::	man	19:23
5	to	wf	TO	to	_	ignore	24:26
6	which	wf	WDT	which	_	ignore	27:32
7	a	wf	DT	a	_	ignore	33:34
8	horse	wf	NN	horse%1|horse%2	horse%1:05:00::	man	35:40
9	can	wf	MD	can%1|can%2	_	un	41:44
10	be	wf	VB	be%2	_	un	45:47
11	hitched	wf	VB	hitch%2	hitch%2:35:00::	man	48:55
12	to	wf	TO	to	_	ignore	56:58
13	prevent	wf	VB	prevent%2	prevent%2:41:00::	man	59:66
14	it	wf	PRP	it	_	ignore	67:69
15	from	wf	IN	from	_	ignore	70:74
16	straying	wf	VBG	stray%2|straying%3	stray%2:38:01::	man	75:83

# text = a hard steel edge tool used to cut gears
# id = 03523398-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	_	glob|a	_	hard_steel%1	hard_steel%1:27:00::	auto	_
3	hard	cf|a	JJ	hard%3|hard%4	_	un	2:6
4	steel	cf|a	NN	steel%1|steel%2	_	un	7:12
5	_	glob|b	_	edge_tool%1	edge_tool%1:06:00::	auto	_
6	edge	cf|b	NN	edge%1|edge%2	_	un	13:17
7	tool	cf|b	NN	tool%1|tool%2	_	un	18:22
8	used	wf	VBN	use%2|used%3	_	un	23:27
9	to	wf	TO	to	_	ignore	28:30
10	cut	wf	VB	cut%1|cut%2|cut%3	cut%2:35:00::	man	31:34
11	gears	wf	NNS	gear%1|gear%2	gear%1:06:00::	man	35:40

# text = a knot that can be undone by pulling against the strain that holds it; a temporary knot
# id = 03522634-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	knot	wf	NN	knot%1|knot%2	_	un	2:6
3	that	wf	WDT	that	_	ignore	7:11
4	can	wf	MD	can%1|can%2	_	un	12:15
5	be	wf	VB	be%2	_	un	16:18
6	undone	wf	VBN	undo%2|undone%3	undo%2:35:01::	man	19:25
7	by	wf	IN	by	_	ignore	26:28
8	pulling	wf	VBG	pulling%1|pull%2	_	un	29:36
9	against	wf	IN	against	_	ignore	37:44
10	the	wf	DT	the	_	ignore	45:48
11	strain	wf	NN	strain%1|strain%2	strain%1:19:00::	man	49:55
12	that	wf	WDT	that	_	ignore	56:60
13	holds	wf	VBZ	hold%1|hold%2	hold%2:35:00::	man	61:66
14	it	wf	PRP	it	_	ignore	67:69
15	;	wf	punc	_	_	ignore	69:70
16	a	wf	DT	a	_	ignore	71:72
17	temporary	wf	JJ	temporary%1|temporary%3	_	un	73:82
18	knot	wf	NN	knot%1|knot%2	_	un	83:87

# text = a fixed post with a ring to which a horse can be hitched to prevent it from straying
# id = 03522990-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	fixed	wf	JJ	fix%2|fixed%3	fixed%5:00:00:nonmoving:00	man	2:7
3	post	wf	NN	post%1|post%2	post%1:06:00::	man	8:12
4	with	wf	IN	with	_	ignore	13:17
5	a	wf	DT	a	_	ignore	18:19
6	ring	wf	NN	ring%1|ring%2	ring%1:06:02::	man	20:24
7	to	wf	TO	to	_	ignore	25:27
8	which	wf	WDT	which	_	ignore	28:33
9	a	wf	DT	a	_	ignore	34:35
10	horse	wf	NN	horse%1|horse%2	horse%1:05:00::	man	36:41
11	can	wf	MD	can%1|can%2	_	un	42:45
12	be	wf	VB	be%2	_	un	46:48
13	hitched	wf	VB	hitch%2	hitch%2:35:00::	man	49:56
14	to	wf	TO	to	_	ignore	57:59
15	prevent	wf	VB	prevent%2	prevent%2:41:00::	man	60:67
16	it	wf	PRP	it	_	ignore	68:70
17	from	wf	IN	from	_	ignore	71:75
18	straying	wf	VBG	stray%2|straying%3	stray%2:38:01::	man	76:84

# text = a short nail with a thick head; used to protect the soles of boots
# id = 03523849-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	short	wf	JJ	short%1|short%2|short%3|short%4	short%3:00:01::	man	2:7
3	nail	wf	NN	nail%1|nail%2	nail%1:06:00::	man	8:12
4	with	wf	IN	with	_	ignore	13:17
5	a	wf	DT	a	_	ignore	18:19
