# text = register (perceptual input); 
# id = 02107248-v-1
# type = def
1	register	wf	VB	register%1|register%2	register%2:39:00::	man	0:8
2	_	aux	_	_	_	_	_
3	(	wf	punc	_	_	ignore	9:10
4	perceptual	wf	JJ	perceptual%3	perceptual%3:01:00::	auto	10:20
5	input	wf	NN	input%1|input%2	_	un	21:26
6	)	wf	punc	_	_	ignore	26:27
7	_	aux	_	_	_	_	_
8	;	wf	punc	_	_	ignore	27:28

# text = pick up a signal
# id = 02107248-v-2
# type = ex
1	_	glob|a	_	pick_up%2	pick_up%2:39:01::	auto	_
2	pick	cf|a	_	pick%1|pick%2	_	un	0:4
3	up	cf|a	_	up%2|up%3|up%4	_	un	5:7
4	a	wf	_	a	_	ignore	8:9
5	signal	wf	_	signal%1|signal%2|signal%3	_	un	10:16

# text = receive a communication from someone; 
# id = 02107442-v-1
# type = def
1	receive	wf	VB	receive%2	_	un	0:7
2	a	wf	DT	a	_	ignore	8:9
3	communication	wf	NN	communication%1	communication%1:03:00::	man	10:23
4	from	wf	IN	from	_	ignore	24:28
5	someone	wf	NN	someone%1	someone%1:03:00::	auto	29:36
6	;	wf	punc	_	_	ignore	36:37

# text = We heard nothing from our son for five years
# id = 02107442-v-2
# type = ex
1	We	wf	_	we	_	ignore	0:2
2	heard	wf	_	hear%2|heard%3	hear%2:39:01::	auto	3:8
3	nothing	wf	_	nothing%1|nothing%4	_	un	9:16
4	from	wf	_	from	_	ignore	17:21
5	our	wf	_	our	_	ignore	22:25
6	son	wf	_	son%1	_	un	26:29
7	for	wf	_	for	_	ignore	30:33
8	five	wf	_	five	_	ignore	34:38
9	years	wf	_	year%1|years%1	_	un	39:44

# text = jump down from an elevated point; 
# id = 02105082-v-1
# type = def
1	jump	wf	VB	jump%1|jump%2	_	un	0:4
2	down	wf	RB	down%1|down%2|down%3|down%4	_	un	5:9
3	from	wf	IN	from	_	ignore	10:14
4	an	wf	DT	an	_	ignore	15:17
5	elevated	wf	JJ	elevated%1|elevate%2|elevated%3	_	un	18:26
6	point	wf	NN	point%1|point%2	_	un	27:32
7	;	wf	punc	_	_	ignore	32:33

# text = the parachutist didn't want to jump
# id = 02105082-v-2
# type = ex
1	the	wf	_	the	_	ignore	0:3
2	parachutist	wf	_	parachutist%1	_	un	4:15
3	did	wf	_	do%2	_	un	16:19
4	n't	wf	_	not%4	_	un	19:22
5	want	wf	_	want%1|want%2	_	un	23:27
6	to	wf	_	to	_	ignore	28:30
7	jump	wf	_	jump%1|jump%2	jump%2:38:11::	auto	31:35

# text = every year, hundreds of people jump off the Golden Gate bridge
# id = 02105082-v-3
# type = ex
1	every	wf	_	every	_	ignore	0:5
2	year	wf	_	year%1	_	un	6:10
3	,	wf	punc	_	_	ignore	10:11
4	hundreds	wf	_	hundred%1	_	un	12:20
5	of	wf	_	of	_	ignore	21:23
6	people	wf	_	people%1|people%2	_	un	24:30
7	_	glob|a	_	jump_off%2	jump_off%2:38:02::	auto	_
8	jump	cf|a	_	jump%1|jump%2	_	un	31:35
9	off	cf|a	_	off%2|off%3|off%4	_	un	36:39
10	the	wf	_	the	_	ignore	40:43
11	Golden	wf	_	Golden	_	un	44:50
12	Gate	wf	_	Gate	_	un	51:55
13	bridge	wf	_	bridge%1|bridge%2	_	un	56:62

# text = the widow leapt into the funeral pyre
# id = 02105082-v-4
# type = ex
1	the	wf	_	the	_	ignore	0:3
2	widow	wf	_	widow%1|widow%2	_	un	4:9
3	leapt	wf	_	leap%2	leap%2:38:11::	auto	10:15
4	into	wf	_	into	_	ignore	16:20
5	the	wf	_	the	_	ignore	21:24
6	funeral	wf	_	funeral%1	_	un	25:32
7	pyre	wf	_	pyre%1	_	un	33:37

# text = divine by reading someone's palms; 
# id = 02107817-v-1
# type = def
1	divine	wf	VB	divine%1|divine%2|divine%3	divine%2:39:00::	man	0:6
2	by	wf	IN	by	_	ignore	7:9
3	reading	wf	VBG	reading%1|read%2	read%2:31:02::	man	10:17
4	someone's	wf	NN	someone%1	someone%1:03:00::	auto	18:27
5	palms	wf	NNS	palm%1|palm%2	palm%1:08:00::	man	28:33
6	;	wf	punc	_	_	ignore	33:34

# text = The Gypsies chiromanced
# id = 02107817-v-2
# type = ex
1	The	wf	_	the	_	ignore	0:3
2	Gypsies	wf	_	Gypsy%1	_	un	4:11
3	chiromanced	wf	_	chiromance%2	chiromance%2:39:00::	auto	12:23

# text = She refused to chiromance my fate
# id = 02107817-v-3
# type = ex
1	She	wf	_	she	_	ignore	0:3
2	refused	wf	_	refuse%2	_	un	4:11
3	to	wf	_	to	_	ignore	12:14
4	chiromance	wf	_	chiromance%2	chiromance%2:39:00::	auto	15:25
5	my	wf	_	my	_	ignore	26:28
6	fate	wf	_	fate%1|fate%2	_	un	29:33

# text = suffer from the receipt of; 
# id = 02109645-v-1
# type = def
1	suffer	wf	VB	suffer%2	_	un	0:6
2	from	wf	IN	from	_	ignore	7:11
3	the	wf	DT	the	_	ignore	12:15
4	receipt	wf	NN	receipt%1|receipt%2	receipt%1:04:00::	man	16:23
5	of	wf	IN	of	_	ignore	24:26
6	;	wf	punc	_	_	ignore	26:27

# text = She will catch hell for this behavior!
# id = 02109645-v-2
# type = ex
1	She	wf	_	she	_	ignore	0:3
2	will	wf	_	will%1|will%2	_	un	4:8
3	catch	wf	_	catch%1|catch%2	catch%2:39:09::	auto	9:14
4	hell	wf	_	hell%1	_	un	15:19
5	for	wf	_	for	_	ignore	20:23
6	this	wf	_	this	_	ignore	24:28
7	behavior	wf	_	behavior%1	_	un	29:37
8	!	wf	punc	_	_	ignore	37:38

# text = glide down a snow-covered slope while standing on a board; 
# id = 02104860-v-1
# type = def
1	glide	wf	VB	glide%1|glide%2	glide%2:38:00::	man	0:5
2	down	wf	IN	down%1|down%2|down%3|down%4	down%4:02:00::	man	6:10
3	a	wf	DT	a	_	ignore	11:12
4	snow-covered	wf	JJ	snow-covered%3	snow-covered%5:00:00:covered:00	auto	13:25
5	slope	wf	NN	slope%1|slope%2	slope%1:17:00::	man	26:31
6	while	wf	IN	while%1	_	un	32:37
7	standing	wf	VBG	standing%1|stand%2|standing%3	_	un	38:46
8	on	wf	IN	on	_	ignore	47:49
9	a	wf	DT	a	_	ignore	50:51
10	board	wf	NN	board%1|board%2	board%1:06:00::	man	52:57
11	;	wf	punc	_	_	ignore	57:58

# text = The children love to snowboard in winter
# id = 02104860-v-2
# type = ex
1	The	wf	_	the	_	ignore	0:3
2	children	wf	_	child%1	_	un	4:12
3	love	wf	_	love%1|love%2	_	un	13:17
4	to	wf	_	to	_	ignore	18:20
5	snowboard	wf	_	snowboard%1|snowboard%2	snowboard%2:38:00::	auto	21:30
6	in	wf	_	in	_	ignore	31:33
7	winter	wf	_	winter%1|winter%2	_	un	34:40

# text = undergo or suffer; 
# id = 02110082-v-1
# type = def
1	undergo	wf	VB	undergo%2	_	un	0:7
2	or	wf	CC	or	_	ignore	8:10
3	suffer	wf	VB	suffer%2	_	un	11:17
4	;	wf	punc	_	_	ignore	17:18

# text = meet a violent death
# id = 02110082-v-2
# type = ex
1	meet	wf	_	meet%1|meet%2|meet%3	meet%2:39:00::	auto	0:4
2	a	wf	_	a	_	ignore	5:6
3	violent	wf	_	violent%3	_	un	7:14
4	death	wf	_	death%1	_	un	15:20

# text = suffer a terrible fate
# id = 02110082-v-3
# type = ex
1	suffer	wf	_	suffer%2	suffer%2:39:02::	auto	0:6
2	a	wf	_	a	_	ignore	7:8
3	terrible	wf	_	terrible%3	_	un	9:17
4	fate	wf	_	fate%1|fate%2	_	un	18:22

# text = suffer or face the pain of death; 
# id = 02109818-v-1
# type = def
1	suffer	wf	VB	suffer%2	suffer%2:37:00::	man	0:6
2	or	wf	CC	or	_	ignore	7:9
3	face	wf	VB	face%1|face%2	face%2:32:00::	man	10:14
4	the	wf	DT	the	_	ignore	15:18
5	pain	wf	NN	pain%1|pain%2	pain%1:09:00::	man	19:23
6	of	wf	IN	of	_	ignore	24:26
7	death	wf	NN	death%1	death%1:11:00::	man	27:32
8	;	wf	punc	_	_	ignore	32:33

# text = Martyrs may die every day for their faith
# id = 02109818-v-2
# type = ex
1	Martyrs	wf	_	martyr%1|martyr%2	_	un	0:7
2	may	wf	_	may%1	_	un	8:11
3	die	wf	_	die%1|die%2	die%2:39:00::	auto	12:15
4	every	wf	_	every	_	ignore	16:21
5	day	wf	_	day%1	_	un	22:25
6	for	wf	_	for	_	ignore	26:29
7	their	wf	_	their	_	ignore	30:35
8	faith	wf	_	faith%1	_	un	36:41

# text = undergo or be subjected to; 
# id = 02109190-v-1
# type = def
1	undergo	wf	VB	undergo%2	_	un	0:7
2	or	wf	CC	or	_	ignore	8:10
3	be	wf	VB	be%2	_	un	11:13
4	subjected	wf	VBN	subject%2	subject%2:39:03::	man	14:23
5	to	wf	TO	to	_	ignore	24:26
6	;	wf	punc	_	_	ignore	26:27

# text = He suffered the penalty
# id = 02109190-v-2
# type = ex
1	He	wf	_	he	_	ignore	0:2
2	suffered	wf	_	suffer%2	suffer%2:39:01::	auto	3:11
3	the	wf	_	the	_	ignore	12:15
4	penalty	wf	_	penalty%1	_	un	16:23

# text = Many saints suffered martyrdom
# id = 02109190-v-3
# type = ex
1	Many	wf	_	many	_	ignore	0:4
2	saints	wf	_	saint%1|saint%2	_	un	5:11
3	suffered	wf	_	suffer%2	suffer%2:39:01::	auto	12:20
4	martyrdom	wf	_	martyrdom%1	_	un	21:30

# text = have a tolerance for a poison or strong drug or pathogen or environmental condition; 
# id = 02109404-v-1
# type = def
1	have	wf	VB	have%1|have%2	_	un	0:4
2	a	wf	DT	a	_	ignore	5:6
3	tolerance	wf	NN	tolerance%1	tolerance%1:07:03::	man	7:16
4	for	wf	IN	for	_	ignore	17:20
5	a	wf	DT	a	_	ignore	21:22
6	poison	wf	NN	poison%1|poison%2	poison%1:27:00::	man	23:29
7	or	wf	CC	or	_	ignore	30:32
8	strong	wf	JJ	strong%3	_	un	33:39
9	drug	wf	NN	drug%1|drug%2	drug%1:06:00::	man	40:44
10	or	wf	CC	or	_	ignore	45:47
11	pathogen	wf	NN	pathogen%1	pathogen%1:05:00::	auto	48:56
12	or	wf	CC	or	_	ignore	57:59
13	_	glob|a	_	environmental_condition%1	environmental_condition%1:26:00::	auto	_
14	environmental	cf|a	JJ	environmental%3	_	un	60:73
15	condition	cf|a	NN	condition%1|condition%2	_	un	74:83
16	;	wf	punc	_	_	ignore	83:84

# text = The patient does not tolerate the anti-inflammatory drugs we gave him
# id = 02109404-v-2
# type = ex
1	The	wf	_	the	_	ignore	0:3
2	patient	wf	_	patient%1|patient%3	_	un	4:11
3	does	wf	_	do%1|doe%1|do%2	_	un	12:16
4	not	wf	_	not%4	_	un	17:20
5	tolerate	wf	_	tolerate%2	tolerate%2:39:00::	auto	21:29
6	the	wf	_	the	_	ignore	30:33
7	anti-inflammatory	wf	_	anti-inflammatory%1	_	un	34:51
8	drugs	wf	_	drug%1|drug%2	_	un	52:57
9	we	wf	_	we	_	ignore	58:60
10	gave	wf	_	give%2	_	un	61:65
11	him	wf	_	him	_	ignore	66:69

# text = have for one's benefit; 
# id = 02110793-v-1
# type = def
1	have	wf	VB	have%1|have%2	_	un	0:4
2	for	wf	IN	for	_	ignore	5:8
3	one's	wf	PRP$	one%1	_	un	9:14
4	benefit	wf	NN	benefit%1|benefit%2	benefit%1:21:00::	man	15:22
5	;	wf	punc	_	_	ignore	22:23

# text = The industry enjoyed a boom
# id = 02110793-v-2
# type = ex
1	The	wf	_	the	_	ignore	0:3
2	industry	wf	_	industry%1	_	un	4:12
3	enjoyed	wf	_	enjoy%2	enjoy%2:39:00::	auto	13:20
4	a	wf	_	a	_	ignore	21:22
5	boom	wf	_	boom%1|boom%2	_	un	23:27

# text = perceive by a physical sensation, e.g., coming from the skin or muscles; 
# id = 02106006-v-1
# type = def
1	perceive	wf	VB	perceive%2	perceive%2:39:00::	man	0:8
2	by	wf	IN	by	_	ignore	9:11
3	a	wf	DT	a	_	ignore	12:13
4	physical	wf	JJ	physical%3	_	un	14:22
5	sensation	wf	NN	sensation%1	sensation%1:09:01::|sensation%1:09:00::	man	23:32
6	,	wf	punc	_	_	ignore	32:33
7	e.g.	wf	RB	e.g.	e.g.%4:02:00::	auto	34:38
8	,	wf	punc	_	_	ignore	38:39
9	coming	wf	VBG	coming%1|come%2|coming%3	_	un	40:46
10	from	wf	IN	from	_	ignore	47:51
11	the	wf	DT	the	_	ignore	52:55
12	skin	wf	NN	skin%1|skin%2	skin%1:08:00::	man	56:60
13	or	wf	CC	or	_	ignore	61:63
14	muscles	wf	NNS	muscle%1|muscle%2	muscle%1:08:00::	man	64:71
15	;	wf	punc	_	_	ignore	71:72

# text = He felt the wind
# id = 02106006-v-2
# type = ex
1	He	wf	_	he	_	ignore	0:2
2	felt	wf	_	felt%1|feel%2|felt%2	feel%2:39:00::	auto	3:7
3	the	wf	_	the	_	ignore	8:11
4	wind	wf	_	wind%1|wind%2	_	un	12:16

# text = She felt an object brushing her arm
# id = 02106006-v-3
# type = ex
1	She	wf	_	she	_	ignore	0:3
2	felt	wf	_	felt%1|feel%2|felt%2	feel%2:39:00::	auto	4:8
3	an	wf	_	an	_	ignore	9:11
4	object	wf	_	object%1|object%2	_	un	12:18
5	brushing	wf	_	brushing%1|brush%2	_	un	19:27
6	her	wf	_	her	_	ignore	28:31
7	arm	wf	_	arm%1|arm%2	_	un	32:35

# text = He felt his flesh crawl
# id = 02106006-v-4
# type = ex
1	He	wf	_	he	_	ignore	0:2
