# text = dip the brush into the paint
# id = 01577093-v-3
# type = ex
1	dip	wf	_	dip%1|dip%2	dip%2:35:00::	auto	0:3
2	the	wf	_	the	_	ignore	4:7
3	brush	wf	_	brush%1|brush%2	_	un	8:13
4	into	wf	_	into	_	ignore	14:18
5	the	wf	_	the	_	ignore	19:22
6	paint	wf	_	paint%1|paint%2	_	un	23:28

# text = enclose in a capsule
# id = 01581070-v-1
# type = def
1	enclose	wf	VB	enclose%2	enclose%2:35:01::	man	0:7
2	in	wf	IN	in	_	ignore	8:10
3	a	wf	DT	a	_	ignore	11:12
4	capsule	wf	NN	capsule%1|capsule%2	capsule%1:06:02::	man	13:20

# text = spread out clothes on the grass to let it dry and bleach
# id = 01580348-v-1
# type = def
1	_	glob|a	_	spread_out%2	spread_out%2:38:04::|spread_out%2:35:03::	man	_
2	spread	cf|a	VB	spread%1|spread%2|spread%3	_	un	0:6
3	out	cf|a	IN	out%1|out%2|out%3|out%4	_	un	7:10
4	clothes	wf	NNS	clothes%1|clothe%2	clothes%1:06:00::	man	11:18
5	on	wf	IN	on	_	ignore	19:21
6	the	wf	DT	the	_	ignore	22:25
7	grass	wf	NN	grass%1|grass%2	grass%1:20:00::	man	26:31
8	to	wf	TO	to	_	ignore	32:34
9	let	wf	VB	let%1|let%2	_	un	35:38
10	it	wf	PRP	it	_	ignore	39:41
11	dry	wf	JJ	dry%1|dry%2|dry%3	dry%3:00:01::	man	42:45
12	and	wf	CC	and	_	ignore	46:49
13	bleach	wf	NN	bleach%1|bleach%2	bleach%1:04:00::	man	50:56

# text = submerge in a liquid; 
# id = 01578513-v-1
# type = def
1	submerge	wf	VB	submerge%2	submerge%2:30:02::	man	0:8
2	in	wf	IN	in	_	ignore	9:11
3	a	wf	DT	a	_	ignore	12:13
4	liquid	wf	NN	liquid%1|liquid%3	liquid%1:27:00::|liquid%1:27:04::	man	14:20
5	;	wf	punc	_	_	ignore	20:21

# text = I soaked in the hot tub for an hour
# id = 01578513-v-2
# type = ex
1	I	wf	_	I	_	ignore	0:1
2	soaked	wf	_	soak%2|soaked%3	soak%2:35:01::	auto	2:8
3	in	wf	_	in	_	ignore	9:11
4	the	wf	_	the	_	ignore	12:15
5	hot	wf	_	hot%3	_	un	16:19
6	tub	wf	_	tub%1	_	un	20:23
7	for	wf	_	for	_	ignore	24:27
8	an	wf	_	an	_	ignore	28:30
9	hour	wf	_	hour%1	_	un	31:35

# text = enclose with a sheath; 
# id = 01581362-v-1
# type = def
1	enclose	wf	VB	enclose%2	enclose%2:35:01::	man	0:7
2	with	wf	IN	with	_	ignore	8:12
3	a	wf	DT	a	_	ignore	13:14
4	sheath	wf	NN	sheath%1	sheath%1:06:00::	man	15:21
5	;	wf	punc	_	_	ignore	21:22

# text = sheathe a sword
# id = 01581362-v-2
# type = ex
1	sheathe	wf	_	sheathe%2	sheathe%2:35:00::	auto	0:7
2	a	wf	_	a	_	ignore	8:9
3	sword	wf	_	sword%1	_	un	10:15

# text = plunge or bury (a knife or sword) in flesh
# id = 01578714-v-1
# type = def
1	plunge	wf	VB	plunge%1|plunge%2	plunge%2:35:01::	man	0:6
2	or	wf	CC	or	_	ignore	7:9
3	bury	wf	VB	bury%2	bury%2:35:01::	man	10:14
4	_	aux	_	_	_	_	_
5	(	wf	punc	_	_	ignore	15:16
6	a	wf	DT	a	_	ignore	16:17
7	knife	wf	NN	knife%1|knife%2	knife%1:06:01::	man	18:23
8	or	wf	CC	or	_	ignore	24:26
9	sword	wf	NN	sword%1	sword%1:06:00::	auto	27:32
10	)	wf	punc	_	_	ignore	32:33
11	_	aux	_	_	_	_	_
12	in	wf	IN	in	_	ignore	34:36
13	flesh	wf	NN	flesh%1|flesh%2	flesh%1:08:02::	man	37:42

# text = spread out or open from a closed or folded state; 
# id = 01579813-v-1
# type = def
1	_	glob|a	_	spread_out%2	spread_out%2:35:03::	man	_
2	spread	cf|a	VB	spread%1|spread%2|spread%3	_	un	0:6
3	out	cf|a	RB	out%1|out%2|out%3|out%4	_	un	7:10
4	or	wf	CC	or	_	ignore	11:13
5	open	wf	VB	open%1|open%2|open%3	open%2:35:08::	man	14:18
6	from	wf	IN	from	_	ignore	19:23
7	a	wf	DT	a	_	ignore	24:25
8	closed	wf	JJ	close%2|closed%3	_	un	26:32
9	or	wf	CC	or	_	ignore	33:35
10	folded	wf	VBN	fold%2	_	un	36:42
11	state	wf	NN	state%1|state%2	state%1:03:00::	man	43:48
12	;	wf	punc	_	_	ignore	48:49

# text = open the map
# id = 01579813-v-2
# type = ex
1	open	wf	_	open%1|open%2|open%3	open%2:35:08::	auto	0:4
2	the	wf	_	the	_	ignore	5:8
3	map	wf	_	map%1|map%2	_	un	9:12

# text = spread your arms
# id = 01579813-v-3
# type = ex
1	spread	wf	_	spread%1|spread%2|spread%3	spread%2:35:03::	auto	0:6
2	your	wf	_	your	_	ignore	7:11
3	arms	wf	_	arm%1|arms%1|arm%2	_	un	12:16

# text = flow over or cover completely; 
# id = 01581217-v-1
# type = def
1	flow	wf	VB	flow%1|flow%2	_	un	0:4
2	over	wf	IN	over%1|over%3|over%4	_	un	5:9
3	or	wf	CC	or	_	ignore	10:12
4	cover	wf	VB	cover%1|cover%2	_	un	13:18
5	completely	wf	RB	completely%4	_	un	19:29
6	;	wf	punc	_	_	ignore	29:30

# text = The bright light engulfed him completely
# id = 01581217-v-2
# type = ex
1	The	wf	_	the	_	ignore	0:3
2	bright	wf	_	bright%3|bright%4	_	un	4:10
3	light	wf	_	light%1|light%2|light%3|light%4	_	un	11:16
4	engulfed	wf	_	engulf%2	engulf%2:35:00::	auto	17:25
5	him	wf	_	him	_	ignore	26:29
6	completely	wf	_	completely%4	_	un	30:40

# text = draw from a sheath or scabbard; 
# id = 01581485-v-1
# type = def
1	draw	wf	VB	draw%1|draw%2	_	un	0:4
2	from	wf	IN	from	_	ignore	5:9
3	a	wf	DT	a	_	ignore	10:11
4	sheath	wf	NN	sheath%1	sheath%1:06:00::	man	12:18
5	or	wf	CC	or	_	ignore	19:21
6	scabbard	wf	NN	scabbard%1	scabbard%1:06:00::	auto	22:30
7	;	wf	punc	_	_	ignore	30:31

# text = the knight unsheathed his sword
# id = 01581485-v-2
# type = ex
1	the	wf	_	the	_	ignore	0:3
2	knight	wf	_	knight%1|knight%2	_	un	4:10
3	unsheathed	wf	_	unsheathe%2|unsheathed%3	unsheathe%2:35:00::	auto	11:21
4	his	wf	_	his	_	ignore	22:25
5	sword	wf	_	sword%1	_	un	26:31

# text = sheathe; 
# id = 01581789-v-1
# type = def
1	sheathe	wf	VB	sheathe%2	sheathe%2:35:01::	man	0:7
2	;	wf	punc	_	_	ignore	7:8

# text = The chrysalis is invaginated
# id = 01581789-v-2
# type = ex
1	The	wf	_	the	_	ignore	0:3
2	chrysalis	wf	_	chrysalis%1	_	un	4:13
3	is	wf	_	i%1|be%2	_	un	14:16
4	invaginated	wf	_	invaginate%2	invaginate%2:35:02::	auto	17:28

# text = cover with a protective sheathing; 
# id = 01581635-v-1
# type = def
1	cover	wf	VB	cover%1|cover%2	_	un	0:5
2	with	wf	IN	with	_	ignore	6:10
3	a	wf	DT	a	_	ignore	11:12
4	protective	wf	JJ	protective%3	_	un	13:23
5	sheathing	wf	NN	sheathing%1|sheathe%2	sheathing%1:06:00::	man	24:33
6	;	wf	punc	_	_	ignore	33:34

# text = sheathe her face
# id = 01581635-v-2
# type = ex
1	sheathe	wf	_	sheathe%2	sheathe%2:35:01::	auto	0:7
2	her	wf	_	her	_	ignore	8:11
3	face	wf	_	face%1|face%2	_	un	12:16

# text = wrap in or as if in a cocoon, as for protection
# id = 01581933-v-1
# type = def
1	wrap	wf	VB	wrap%1|wrap%2	wrap%2:35:01::	man	0:4
2	in	wf	IN	in	_	ignore	5:7
3	or	wf	CC	or	_	ignore	8:10
4	as	wf	IN	as	_	ignore	11:13
5	if	wf	IN	if	_	ignore	14:16
6	in	wf	IN	in	_	ignore	17:19
7	a	wf	DT	a	_	ignore	20:21
8	cocoon	wf	NN	cocoon%1|cocoon%2	cocoon%1:05:00::	man	22:28
9	,	wf	punc	_	_	ignore	28:29
10	as	wf	RB	as	_	ignore	30:32
11	for	wf	IN	for	_	ignore	33:36
12	protection	wf	NN	protection%1	protection%1:06:00::	man	37:47

# text = place or enclose in a tube
# id = 01580928-v-1
# type = def
1	place	wf	VB	place%1|place%2	place%2:35:00::	man	0:5
2	or	wf	CC	or	_	ignore	6:8
3	enclose	wf	VB	enclose%2	enclose%2:35:01::	man	9:16
4	in	wf	IN	in	_	ignore	17:19
5	a	wf	DT	a	_	ignore	20:21
6	tube	wf	NN	tube%1|tube%2	tube%1:25:00::	man	22:26

# text = suffuse with or as if with light; 
# id = 01582070-v-1
# type = def
1	suffuse	wf	VB	suffuse%2	suffuse%2:30:01::	man	0:7
2	with	wf	IN	with	_	ignore	8:12
3	or	wf	CC	or	_	ignore	13:15
4	as	wf	IN	as	_	ignore	16:18
5	if	wf	IN	if	_	ignore	19:21
6	with	wf	IN	with	_	ignore	22:26
7	light	wf	NN	light%1|light%2|light%3|light%4	light%1:19:00::	man	27:32
8	;	wf	punc	_	_	ignore	32:33

# text = The room was bathed in sunlight
# id = 01582070-v-2
# type = ex
1	The	wf	_	the	_	ignore	0:3
2	room	wf	_	room%1|room%2	_	un	4:8
3	was	wf	_	be%2	_	un	9:12
4	bathed	wf	_	bath%2|bathe%2	bathe%2:35:00::	auto	13:19
5	in	wf	_	in	_	ignore	20:22
6	sunlight	wf	_	sunlight%1	_	un	23:31

# text = cover as if with a shroud; 
# id = 01582200-v-1
# type = def
1	cover	wf	VB	cover%1|cover%2	_	un	0:5
2	as	wf	IN	as	_	ignore	6:8
3	if	wf	IN	if	_	ignore	9:11
4	with	wf	IN	with	_	ignore	12:16
5	a	wf	DT	a	_	ignore	17:18
6	shroud	wf	NN	shroud%1|shroud%2	shroud%1:06:00::	man	19:25
7	;	wf	punc	_	_	ignore	25:26

# text = The origins of this civilization are shrouded in mystery
# id = 01582200-v-2
# type = ex
1	The	wf	_	the	_	ignore	0:3
2	origins	wf	_	origin%1	_	un	4:11
3	of	wf	_	of	_	ignore	12:14
4	this	wf	_	this	_	ignore	15:19
5	civilization	wf	_	civilization%1	_	un	20:32
6	are	wf	_	are%1|be%2	_	un	33:36
7	shrouded	wf	_	shroud%2	shroud%2:35:01::	auto	37:45
8	in	wf	_	in	_	ignore	46:48
9	mystery	wf	_	mystery%1	_	un	49:56

# text = draw with suitable instruments and under specified conditions; 
# id = 01583142-v-1
# type = def
1	draw	wf	VB	draw%1|draw%2	_	un	0:4
2	with	wf	IN	with	_	ignore	5:9
3	suitable	wf	JJ	suitable%3	_	un	10:18
4	instruments	wf	NNS	instrument%1|instrument%2	instrument%1:04:00::	man	19:30
5	and	wf	CC	and	_	ignore	31:34
6	under	wf	IN	under%3|under%4	_	un	35:40
7	specified	wf	JJ	specify%2|specified%3	_	un	41:50
8	conditions	wf	NNS	condition%1|conditions%1|condition%2	_	un	51:61
9	;	wf	punc	_	_	ignore	61:62

# text = construct an equilateral triangle
# id = 01583142-v-2
# type = ex
1	construct	wf	_	construct%1|construct%2	construct%2:35:00::	auto	0:9
2	an	wf	_	an	_	ignore	10:12
3	equilateral	wf	_	equilateral%1|equilateral%3	_	un	13:24
4	triangle	wf	_	triangle%1	_	un	25:33

