l,total
"break",75
"cut",70
"run",57
"play",52
"make",51
"light",46
"draw",45
"clear",45
"hold",45
"give",45
"take",44
"set",44
"fall",43
"head",42
"pass",42
"carry",41
"call",40
"point",40
"charge",40
"catch",39
"check",38
"turn",38
"close",37
"get",37
"lift",36
"right",36
"line",36
"cover",36
"open",36
"go",35
"beat",34
"work",34
"drive",34
"roll",33
"drop",32
"place",32
"clean",31
"lead",31
"raise",31
"heavy",30
"base",29
"blow",29
"return",29
"block",28
"mark",28
"back",28
"touch",27
"rise",27
"stock",27
"strike",27
"good",27
"slip",26
"snap",26
"round",25
"see",25
"stick",25
"square",25
"keep",25
"down",25
"flat",24
"direct",24
"crack",24
"stand",24
"pull",24
"hit",24
"sound",24
"follow",24
"form",23
"ground",23
"shift",23
"spread",23
"dip",23
"short",23
"press",23
"center",23
"twist",23
"order",23
"settle",23
"support",22
"pitch",22
"release",22
"case",22
"shoot",22
"stop",22
"come",22
"start",22
"pack",22
"well",22
"deal",22
"hard",22
"swing",22
"face",22
"top",22
"free",22
"develop",21
"deep",21
"dress",21
"wash",21
"step",21
"field",21
"dead",21
"pick",21
"jump",21
"pound",21
"double",21
"move",21
"hot",21
"last",21
"straight",21
"discharge",20
"sign",20
"cast",20
"advance",20
"key",20
"have",20
"strain",20
"hook",20
"spot",20
"fly",20
"burn",20
"change",20
"post",20
"stretch",20
"tap",20
"reduce",20
"throw",20
"soft",20
"separate",19
"pop",19
"dry",19
"level",19
"control",19
"live",19
"flash",19
"match",19
"force",19
"strip",19
"black",19
"dull",19
"rule",19
"break_up",19
"rack",18
"crash",18
"shell",18
"loose",18
"position",18
"address",18
"quarter",18
"fire",18
"scale",18
"figure",18
"rough",18
"high",18
"tender",18
"score",18
"rest",18
"solid",18
"find",18
"piece",18
"tie",18
"end",18
"still",18
"bank",18
"flush",18
"present",18
"bar",18
"shot",18
"part",18
"stamp",18
"flip",18
"hang",18
"split",17
"service",17
"active",17
"fair",17
"bound",17
"frame",17
"home",17
"fix",17
"exchange",17
"register",17
"upset",17
"white",17
"spike",17
"puff",17
"range",17
"string",17
"leave",17
"out",17
"bad",17
"shock",17
"yield",17
"drift",17
"feel",17
"number",17
"take_in",17
"train",17
"regular",17
"land",17
"kill",17
"scratch",17
"slack",17
"squeeze",17
"drag",17
"wild",17
"walk",17
"trim",17
"extend",17
"big",17
"model",16
"screen",16
"blue",16
"cold",16
"track",16
"serve",16
"ride",16
"seat",16
"stroke",16
"fret",16
"blast",16
"study",16
"stay",16
"choke",16
"smash",16
"fit",16
"pick_up",16
"hand",16
"dark",16
"foul",16
"plate",16
"hack",16
"offer",16
"bolt",16
"waste",16
"mean",16
"issue",16
"tight",16
"first",16
"show",16
"float",16
"flare",15
"answer",15
"true",15
"crown",15
"act",15
"sweet",15
"easy",15
"name",15
"push",15
"color",15
"bear",15
"attack",15
"ring",15
"section",15
"lock",15
"grain",15
"band",15
"cross",15
"low",15
"sharp",15
"rush",15
"subject",15
"brush",15
"represent",15
"wind",15
"second",15
"air",15
"master",15
"fast",15
"transfer",15
"finish",15
"loop",15
"shake",15
"time",15
"set_up",15
"tone",15
"sweep",15
"rail",15
"do",15
"escape",15
"colour",15
"meet",15
"review",15
"port",14
"freeze",14
"root",14
"load",14
"look",14
"chip",14
"raw",14
"balance",14
"corner",14
"life",14
"reverse",14
"heave",14
"firm",14
"hurt",14
"trace",14
"switch",14
"opening",14
"die",14
"house",14
"bag",14
"draft",14
"kick",14
"game",14
"nose",14
"stall",14
"flow",14
"mold",14
"take_out",14
"pin",14
"even",14
"pit",14
"away",14
"cloud",14
"render",14
"account",14
"think",14
"foot",14
"secret",14
"project",14
"tip",14
"design",14
"shaft",14
"bow",14
"outside",14
"stuff",14
"guard",14
"up",14
"job",14
"seal",14
"approach",14
"side",14
"be",13
"wave",13
"board",13
"receive",13
"plug",13
"natural",13
"express",13
"splash",13
"full",13
"grade",13
"condition",13
"note",13
"seed",13
"take_up",13
"quiet",13
"medium",13
"jack",13
"card",13
"use",13
"record",13
"process",13
"date",13
"sink",13
"mind",13
"dirty",13
"brace",13
"way",13
"counter",13
"course",13
"patch",13
"court",13
"small",13
"beam",13
"warm",13
"joint",13
"voice",13
"test",13
"reach",13
"better",13
"book",13
"view",13
"rich",13
"bite",13
"thrust",13
"bare",13
"rank",13
"mate",13
"sack",13
"taste",13
"credit",13
"measure",13
"wrong",13
"box",13
"broken",13
"cutting",13
"real",13
"fresh",13
"report",13
"positive",13
"gain",13
"shade",13
"tumble",13
"dig",13
"thin",13
"front",13
"watch",13
"bull",13
"link",13
"bill",13
"spare",13
"bed",13
"visit",13
"spin",13
"mount",13
"thick",13
"trap",12
"help",12
"contract",12
"bitter",12
"net",12
"flick",12
"division",12
"count",12
"ruin",12
"bond",12
"style",12
"march",12
"butt",12
"deposit",12
"smooth",12
"smack",12
"tack",12
"bridge",12
"glow",12
"bottom",12
"collar",12
"title",12
"queen",12
"passing",12
"feed",12
"dock",12
"thing",12
"command",12
"trust",12
"proof",12
"shadow",12
"save",12
"horn",12
"convert",12
"prime",12
"give_up",12
"silver",12
"floor",12
"long",12
"pole",12
"come_up",12
"deliver",12
"recall",12
"read",12
"glass",12
"say",12
"extension",12
"trade",12
"hitch",12
"tease",12
"weak",12
"wear",12
"flight",12
"turn_out",12
"pinch",12
"forward",12
"flag",12
"bang",12
"average",12
"withdraw",12
"puddle",12
"crop",12
"bob",12
"correct",12
"grant",12
"body",12
"star",12
"cry",12
"bowl",12
"wing",12
"ruffle",12
"tough",12
"picture",12
"hunt",12
"burst",12
"crush",12
"negative",12
"camp",12
"commission",12
"fold",12
"build",12
"man",12
"ball",12
"major",12
"trip",12
"dissolve",12
"action",12
"know",12
"dash",12
"focus",12
"pay",12
"prick",11
"capture",11
"resolution",11
"decline",11
"heat",11
"mature",11
"gauge",11
"plain",11
"reference",11
"hood",11
"shine",11
"flux",11
"standard",11
"pile",11
"carrier",11
"Jackson",11
"whistle",11
"irregular",11
"opposite",11
"bend",11
"ridge",11
"bit",11
"trouble",11
"rag",11
"cap",11
"mould",11
"club",11
"get_off",11
"slow",11
"bring",11
"relief",11
"rear",11
"wide",11
"bind",11
"chain",11
"operation",11
"collapse",11
"accept",11
"sour",11
"spring",11
"gather",11
"minor",11
"aim",11
"variation",11
"guide",11
"source",11
"jerk",11
"obscure",11
"cool",11
"false",11
"union",11
"connect",11
"material",11
"pump",11
"bright",11
"defense",11
"upgrade",11
"green",11
"mouth",11
"notice",11
"suffer",11
"so",11
"lose",11
"grind",11
"clinch",11
"cycle",11
"stir",11
"rat",11
"contact",11
"swell",11
"superior",11
"clip",11
"pad",11
"fail",11
"pocket",11
"reserve",11
"knock",11
"relieve",11
"swallow",11
"defence",11
"retreat",11
"gray",11
"running",11
"C",11
"plaster",11
"cup",11
"pool",11
"Wilson",11
"tail",11
"concentrate",11
"come_out",11
"chop",11
"transport",11
"heel",11
"click",11
"fill",11
"miss",11
"wheel",11
"image",11
"retire",11
"radical",11
"soak",11
"lap",11
"jam",11
"liquid",11
"movement",11
"pall",11
"spoil",11
"circle",11
"like",11
"claim",11
"channel",11
"value",11
"troll",11
"late",11
"large",11
"secure",11
"resistance",11
"demand",11
"whip",11
"talk",11
"stiff",11
"question",11
"rig",11
"flap",11
"offset",11
"print",11
"care",11
"compound",11
"shower",11
"put",10
"grey",10
"just",10
"heart",10
"ice",10
"treat",10
"James",10
"share",10
"screw",10
"exposure",10
"blaze",10
"smell",10
"combine",10
"host",10
"idle",10
"Edward",10
"passage",10
"under",10
"drink",10
"tongue",10
"inside",10
"submit",10
"narrow",10
"factor",10
"yoke",10
"skin",10
"moderate",10
"content",10
"grip",10
"maintain",10
"rally",10
"radiate",10
"explode",10
"stem",10
"steady",10
"sure",10
"blind",10
"grass",10
"tag",10
"wish",10
"new",10
"sit",10
"single",10
"border",10
"waver",10
"around",10
"fine",10
"canvas",10
"grow",10
"special",10
"put_on",10
"lean",10
"race",10
"spur",10
"scene",10
"spat",10
"clap",10
"rap",10
"power",10
"spell",10
"gum",10
"undercut",10
"expose",10
"continue",10
"paddle",10
"edge",10
"complete",10
"gross",10
"lost",10
"spiral",10
"practice",10
"stone",10
"regenerate",10
"nail",10
"space",10
"compact",10
"plant",10
"stage",10
"canvass",10
"ray",10
"digest",10
"poke",10
"common",10
"allow",10
"love",10
"purge",10
"knot",10
"representation",10
"alternate",10
"grand",10
"company",10
"inactive",10
"gentle",10
"belt",10
"curve",10
"slice",10
"hole",10
"sheet",10
"interest",10
"strong",10
"dump",10
"left",10
"bounce",10
"empty",10
"slick",10
"hammer",10
"panel",10
"bay",10
"character",10
"write",10
"brand",10
"skim",10
"flood",10
"smoke",10
"program",10
"cradle",10
"apply",10
"perch",10
"distribute",10
"translate",10
"scrape",10
"introduce",10
"clutch",10
"dim",10
"begin",10
"extract",10
"indifferent",10
"tread",10
"state",10
"general",10
"runner",10
"boom",10
"plunge",10
"speed",10
"bat",10
"core",10
"badly",10
"stream",10
"pot",10
"slug",10
"shape",10
"stake",10
"bid",10
"projection",10
"make_out",10
"tramp",10
"little",10
"spill",10
"school",10
"exercise",10
"weight",10
"pace",10
"water",10
"engage",10
"vote",10
"bust",10
"put_out",10
"living",10
"try",10
"suit",10
"slide",10
"zero",10
"pattern",10
"crank",10
"regard",10
"surface",10
"peg",10
"function",10
"centre",10
"softness",10
"bubble",9
"jet",9
"simple",9
"withdrawal",9
