.22-caliber	11/113/wsd-113900
.22-calibre	11/113/wsd-113900
.22_caliber	11/113/wsd-113900
.22_calibre	11/113/wsd-113900
.38-caliber	11/113/wsd-113900
.38-calibre	11/113/wsd-113900
.38_caliber	11/113/wsd-113900
.38_calibre	11/113/wsd-113900
.45-caliber	11/113/wsd-113900
.45-calibre	11/113/wsd-113900
.45_caliber	11/113/wsd-113900
.45_calibre	11/113/wsd-113900
0	10/107/wsd-107800
1	10/107/wsd-107800
10	10/107/wsd-107800
10-membered	10/104/wsd-104100
100	10/107/wsd-107900
1000	10/108/wsd-108000
1000th	10/108/wsd-108100
100th	10/108/wsd-108000
101	10/107/wsd-107900
101st	10/108/wsd-108000
105	10/107/wsd-107900
105th	10/108/wsd-108000
10th	10/108/wsd-108000
11	10/107/wsd-107800
110	10/107/wsd-107900
110th	10/108/wsd-108000
115	10/107/wsd-107900
115th	10/108/wsd-108000
11th	10/108/wsd-108000
12	10/107/wsd-107800
120	10/107/wsd-107900
120th	10/108/wsd-108000
125	10/107/wsd-107900
125th	10/108/wsd-108000
12th	10/108/wsd-108000
13	10/107/wsd-107800
130	10/107/wsd-107900
130th	10/108/wsd-108000
135	10/107/wsd-107900
135th	10/108/wsd-108000
13th	10/108/wsd-108000
14	10/107/wsd-107900
140	10/107/wsd-107900
140th	10/108/wsd-108000
145	10/107/wsd-107900
145th	10/108/wsd-108000
14th	10/108/wsd-108000
15	10/107/wsd-107900
150	10/107/wsd-107900
150th	10/108/wsd-108000
155	10/107/wsd-107900
155th	10/108/wsd-108000
15th	10/108/wsd-108000
16	10/107/wsd-107900
160	10/107/wsd-107900
160th	10/108/wsd-108000
165	10/108/wsd-108000
165th	10/108/wsd-108000
16th	10/108/wsd-108000
17	10/107/wsd-107900
170	10/108/wsd-108000
170th	10/108/wsd-108000
175	10/108/wsd-108000
175th	10/108/wsd-108000
17th	10/108/wsd-108000
18	10/107/wsd-107900
180	10/108/wsd-108000
180th	10/108/wsd-108000
18th	10/108/wsd-108000
19	10/107/wsd-107900
190	10/108/wsd-108000
190th	10/108/wsd-108100
19th	10/108/wsd-108000
1st	10/108/wsd-108000
2	10/107/wsd-107800
2-dimensional	09/099/wsd-099500
20	10/107/wsd-107900
200	10/108/wsd-108000
200th	10/108/wsd-108100
20th	10/108/wsd-108000
21	10/107/wsd-107900
21st	10/108/wsd-108000
22	10/107/wsd-107900
22nd	10/108/wsd-108000
23	10/107/wsd-107900
23rd	10/108/wsd-108000
24	10/107/wsd-107900
24th	10/108/wsd-108000
25	10/107/wsd-107900
25th	10/108/wsd-108000
26	10/107/wsd-107900
26th	10/108/wsd-108000
27	10/107/wsd-107900
27th	10/108/wsd-108000
28	10/107/wsd-107900
28th	10/108/wsd-108000
29	10/107/wsd-107900
29th	10/108/wsd-108000
2d	10/108/wsd-108000
2nd	10/108/wsd-108000
3	10/107/wsd-107800
3-dimensional	09/099/wsd-099500
3-membered	10/104/wsd-104100
30	10/107/wsd-107900
300	10/108/wsd-108000
300th	10/108/wsd-108100
30th	10/108/wsd-108000
31	10/107/wsd-107900
31st	10/108/wsd-108000
32	10/107/wsd-107900
32nd	10/108/wsd-108000
