'tween	11/115/wsd-115700
'tween_decks	11/117/wsd-117400
a.d.	11/114/wsd-114000
a.k.a.	11/115/wsd-115900
a.m.	11/115/wsd-115700
a_bit	11/114/wsd-114200
a_cappella	11/114/wsd-114000
a_fortiori	11/114/wsd-114400
a_good_deal	11/114/wsd-114300
a_great_deal	11/114/wsd-114300
a_hundred_times	11/116/wsd-116500
a_la_carte	11/115/wsd-115800
a_la_mode	11/117/wsd-117400
a_little	11/114/wsd-114200
a_lot	11/114/wsd-114300
a_million_times	11/116/wsd-116300
a_posteriori	11/115/wsd-115700
a_priori	11/115/wsd-115700
a_trifle	11/114/wsd-114200
ab_initio	11/114/wsd-114600
aback	11/114/wsd-114400
abaft	11/115/wsd-115900
abaxially	11/117/wsd-117600
abeam	11/114/wsd-114400
abed	11/115/wsd-115500
abjectly	11/115/wsd-115800
ably	11/115/wsd-115200
abnormally	11/115/wsd-115500
aboard	11/115/wsd-115700
abominably	11/116/wsd-116100	11/114/wsd-114300
aborad	11/115/wsd-115100
abortively	11/115/wsd-115800
about	11/114/wsd-114000	11/116/wsd-116400	11/114/wsd-114400
above	11/114/wsd-114500
above_all	11/115/wsd-115000
aboveboard	11/116/wsd-116100
abreast	11/115/wsd-115700
abroad	11/115/wsd-115200	11/114/wsd-114600	11/115/wsd-115800
abruptly	11/114/wsd-114300
absently	11/114/wsd-114400
absentmindedly	11/114/wsd-114400
absolutely	11/114/wsd-114000
abstemiously	11/115/wsd-115800
abstractedly	11/114/wsd-114400
abstractly	11/115/wsd-115300
abstrusely	11/115/wsd-115800
absurdly	11/116/wsd-116100
abundantly	11/115/wsd-115500
abusively	11/114/wsd-114300
abysmally	11/114/wsd-114300
academically	11/114/wsd-114700
accelerando	11/115/wsd-115800
acceptably	11/114/wsd-114300
accidentally	11/114/wsd-114200	11/115/wsd-115400	11/114/wsd-114300
accommodatingly	11/115/wsd-115600
accordingly	11/114/wsd-114300
accurately	11/115/wsd-115400
accusingly	11/114/wsd-114400
acoustically	11/114/wsd-114900
across	11/115/wsd-115900
across_the_board	11/115/wsd-115000
across_the_country	11/116/wsd-116800
across_the_nation	11/116/wsd-116800
actively	11/114/wsd-114500
actually	11/115/wsd-115000
acutely	11/114/wsd-114900	11/115/wsd-115900	11/117/wsd-117500
ad	11/114/wsd-114000
ad_hoc	11/115/wsd-115700
ad_infinitum	11/114/wsd-114500
ad_interim	11/114/wsd-114500
ad_lib	11/114/wsd-114500
ad_libitum	11/114/wsd-114500
ad_nauseam	11/115/wsd-115700
